Table S-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders in the Labor Force, by state: 2005–19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participants with bachelor's degrees,,,,,,,,,,,,,,,,Labor force participants,,,,,,,,,,,,,,,,Bachelor's degree holders as a percent of the labor force (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hawaii,"176,255","196,135","192,695","193,565","197,720","206,765","204,635","215,285","220,475","220,000","220,865","234,755","233,415","238,705","237,495",,"609,665","638,345","635,965","654,475","654,225","694,445","681,800","697,900","685,185","702,065","710,240","718,285","710,265","712,135","698,880",,28.9,30.7,30.3,29.6,30.2,29.8,30.0,30.8,32.2,31.3,31.1,32.7,32.9,33.5,34.0
Idaho,"160,670","166,640","180,440","179,625","174,000","185,570","190,410","192,190","199,700","192,955","202,825","215,530","216,090","233,510","239,640",,"712,585","729,020","752,270","767,295","758,535","757,590","760,735","772,110","765,760","769,335","786,375","800,290","820,915","840,240","877,350",,22.5,22.9,24.0,23.4,22.9,24.5,25.0,24.9,26.1,25.1,25.8,26.9,26.3,27.8,27.3
Illinois,"1,976,665","2,020,285","2,068,525","2,139,565","2,178,225","2,198,755","2,218,955","2,262,400","2,305,040","2,332,465","2,339,565","2,412,930","2,419,020","2,506,845","2,539,540",,"6,459,240","6,636,050","6,661,855","6,799,110","6,744,355","6,674,565","6,661,180","6,713,110","6,712,310","6,681,865","6,657,355","6,650,520","6,642,820","6,662,825","6,606,715",,30.6,30.4,31.1,31.5,32.3,32.9,33.3,33.7,34.3,34.9,35.1,36.3,36.4,37.6,38.4
Indiana,"698,245","741,810","766,095","807,070","799,300","802,820","810,825","824,460","842,130","875,815","895,305","915,990","957,725","979,960","986,035",,"3,135,875","3,254,180","3,247,600","3,315,880","3,296,045","3,250,475","3,260,790","3,291,700","3,282,795","3,321,845","3,312,605","3,332,230","3,342,800","3,388,035","3,414,810",,22.3,22.8,23.6,24.3,24.3,24.7,24.9,25.0,25.7,26.4,27.0,27.5,28.7,28.9,28.9
Iowa,"394,300","407,105","406,415","419,620","427,560","429,875","442,240","446,450","454,265","470,325","456,665","487,895","498,975","505,035","504,310",,"1,588,630","1,624,575","1,626,555","1,663,410","1,650,985","1,651,500","1,637,405","1,644,690","1,656,005","1,667,250","1,669,320","1,679,845","1,679,790","1,676,715","1,680,915",,24.8,25.1,25.0,25.2,25.9,26.0,27.0,27.1,27.4,28.2,27.4,29.0,29.7,30.1,30.0
Kansas,"404,165","419,870","426,960","451,625","444,195","452,540","459,270","459,370","471,930","469,295","475,035","495,485","507,910","512,860","513,680",,"1,435,160","1,471,475","1,474,915","1,513,725","1,488,410","1,491,225","1,500,640","1,491,405","1,487,080","1,474,595","1,486,200","1,493,135","1,499,885","1,499,745","1,512,485",,28.2,28.5,28.9,29.8,29.8,30.3,30.6,30.8,31.7,31.8,32.0,33.2,33.9,34.2,34.0
Kentucky,"427,995","457,210","460,695","458,230","496,540","484,165","501,880","515,800","534,285","527,070","543,945","554,835","573,715","591,910","606,195",,"1,964,060","2,017,955","2,040,135","2,042,605","2,059,590","2,044,015","2,052,110","2,059,800","2,067,125","2,067,810","2,062,780","2,079,320","2,091,960","2,105,670","2,098,310",,21.8,22.7,22.6,22.4,24.1,23.7,24.5,25.0,25.8,25.5,26.4,26.7,27.4,28.1,28.9
Louisiana,"461,965","439,490","441,170","466,935","505,070","511,150","495,585","524,190","536,990","549,955","563,705","562,125","580,515","582,565","594,550",,"2,104,455","2,011,235","2,022,400","2,116,325","2,176,635","2,187,680","2,175,280","2,195,415","2,186,615","2,180,625","2,193,370","2,172,160","2,164,375","2,152,800","2,158,335",,22.0,21.9,21.8,22.1,23.2,23.4,22.8,23.9,24.6,25.2,25.7,25.9,26.8,27.1,27.5
Maine,"179,985","189,085","195,560","182,135","197,130","199,100","211,635","203,930","204,855","217,210","216,830","221,545","228,925","230,960","247,165",,"694,705","701,800","704,180","704,600","701,645","699,825","703,535","699,690","691,350","693,850","685,215","689,035","700,980","703,405","708,885",,25.9,26.9,27.8,25.8,28.1,28.4,30.1,29.1,29.6,31.3,31.6,32.2,32.7,32.8,34.9
Maryland,"1,028,185","1,081,895","1,098,080","1,116,845","1,147,315","1,180,845","1,198,555","1,224,725","1,252,570","1,280,520","1,298,120","1,323,615","1,349,555","1,373,420","1,390,770",,"2,927,145","3,036,960","3,014,570","3,113,565","3,117,745","3,164,140","3,177,060","3,201,720","3,223,300","3,225,570","3,207,270","3,249,160","3,268,600","3,251,245","3,246,225",,35.1,35.6,36.4,35.9,36.8,37.3,37.7,38.3,38.9,39.7,40.5,40.7,41.3,42.2,42.8
Massachusetts,"1,294,995","1,361,560","1,402,325","1,424,420","1,470,640","1,476,635","1,494,185","1,508,265","1,556,740","1,617,615","1,629,260","1,682,655","1,716,125","1,788,060","1,820,510",,"3,331,805","3,470,665","3,490,590","3,600,110","3,634,120","3,590,910","3,619,655","3,643,390","3,684,770","3,720,445","3,739,685","3,769,850","3,771,625","3,803,705","3,852,055",,38.9,39.2,40.2,39.6,40.5,41.1,41.3,41.4,42.2,43.5,43.6,44.6,45.5,47.0,47.3
Michigan,"1,286,655","1,305,485","1,313,850","1,328,030","1,310,620","1,315,295","1,331,395","1,352,730","1,398,935","1,425,225","1,445,120","1,478,785","1,534,800","1,578,260","1,601,410",,"4,981,645","5,058,550","5,016,130","5,038,230","4,970,185","4,870,675","4,821,615","4,829,175","4,846,295","4,848,830","4,862,035","4,890,800","4,945,630","4,973,990","5,005,270",,25.8,25.8,26.2,26.4,26.4,27.0,27.6,28.0,28.9,29.4,29.7,30.2,31.0,31.7,32.0
Minnesota,"860,300","872,875","900,865","935,540","931,975","953,860","967,780","1,008,330","1,015,040","1,051,390","1,070,945","1,075,635","1,127,645","1,144,810","1,179,275",,"2,818,655","2,887,040","2,905,045","2,966,880","2,946,835","2,938,275","2,955,215","2,972,840","2,991,160","3,005,705","3,039,535","3,038,165","3,070,880","3,078,155","3,109,180",,30.5,30.2,31.0,31.5,31.6,32.5,32.7,33.9,33.9,35.0,35.2,35.4,36.7,37.2,37.9
Mississippi,"267,990","270,520","269,290","287,200","284,430","286,915","297,430","302,710","296,905","306,025","302,650","315,510","321,205","342,455","323,610",,"1,338,495","1,325,055","1,330,470","1,362,430","1,339,780","1,340,290","1,332,465","1,345,625","1,338,290","1,339,520","1,324,310","1,330,705","1,319,720","1,326,205","1,328,570",,20.0,20.4,20.2,21.1,21.2,21.4,22.3,22.5,22.2,22.8,22.9,23.7,24.3,25.8,24.4
Missouri,"748,375","770,620","791,350","813,040","832,015","839,515","846,725","865,055","891,165","898,965","908,925","925,110","961,710","974,435","1,006,795",,"2,940,295","2,989,590","3,000,520","3,071,740","3,063,775","3,036,145","3,026,950","3,024,520","3,035,250","3,009,855","3,042,540","3,042,310","3,061,465","3,049,455","3,058,520",,25.5,25.8,26.4,26.5,27.2,27.7,28.0,28.6,29.4,29.9,29.9,30.4,31.4,32.0,32.9
Montana,"128,545","134,805","132,895","138,375","138,705","148,435","149,775","154,745","146,670","152,335","160,070","162,465","174,685","172,420","182,260",,"492,735","491,000","495,785","508,120","503,835","505,675","521,315","519,990","516,205","520,320","513,210","529,225","538,120","542,060","542,265",,26.1,27.5,26.8,27.2,27.5,29.4,28.7,29.8,28.4,29.3,31.2,30.7,32.5,31.8,33.6
Nebraska,"254,615","264,340","267,925","268,765","272,130","291,595","284,365","298,600","299,165","307,955","314,040","322,645","328,960","341,565","356,010",,"943,925","974,855","969,825","992,670","990,900","1,000,885","1,006,875","1,010,365","1,012,430","1,024,200","1,019,545","1,025,545","1,043,920","1,035,220","1,043,090",,27.0,27.1,27.6,27.1,27.5,29.1,28.2,29.6,29.5,30.1,30.8,31.5,31.5,33.0,34.1
Nevada,"246,110","264,265","282,655","293,395","297,690","296,165","304,500","304,030","309,150","319,150","329,285","334,945","363,685","368,865","388,490",,"1,232,650","1,291,285","1,321,335","1,372,755","1,383,815","1,393,170","1,379,560","1,402,365","1,418,165","1,425,975","1,446,815","1,473,555","1,514,890","1,531,365","1,558,870",,20.0,20.5,21.4,21.4,21.5,21.3,22.1,21.7,21.8,22.4,22.8,22.7,24.0,24.1,24.9
New Hampshire,"223,735","233,780","238,545","249,755","240,360","247,905","248,215","257,815","255,675","258,270","266,065","275,550","283,740","277,750","287,570",,"719,075","737,775","737,625","752,120","754,215","742,210","735,365","740,065","739,150","742,710","744,970","746,865","756,935","755,905","758,100",,31.1,31.7,32.3,33.2,31.9,33.4,33.8,34.8,34.6,34.8,35.7,36.9,37.5,36.7,37.9
New Jersey,"1,590,245","1,620,050","1,633,550","1,691,090","1,700,220","1,740,035","1,748,330","1,801,165","1,817,575","1,876,250","1,884,355","1,928,255","2,022,500","2,057,040","2,080,220",,"4,389,995","4,546,370","4,520,765","4,651,570","4,638,180","4,647,005","4,662,195","4,677,565","4,677,030","4,725,815","4,684,035","4,693,390","4,746,330","4,718,205","4,717,175",,36.2,35.6,36.1,36.4,36.7,37.4,37.5,38.5,38.9,39.7,40.2,41.1,42.6,43.6,44.1
New Mexico,"223,645","237,355","235,305","228,060","242,510","247,230","255,705","257,170","253,850","246,810","246,900","259,150","254,355","255,880","270,275",,"917,695","934,955","938,165","957,380","957,680","959,220","979,400","970,120","960,615","958,075","950,310","952,015","931,155","931,955","960,265",,24.4,25.4,25.1,23.8,25.3,25.8,26.1,26.5,26.4,25.8,26.0,27.2,27.3,27.5,28.1
New York,"3,215,970","3,300,715","3,383,260","3,489,410","3,588,220","3,554,290","3,594,955","3,696,935","3,792,585","3,854,600","3,944,785","3,996,040","4,097,015","4,146,075","4,241,845",,"9,351,710","9,636,400","9,692,380","10,046,505","10,013,915","9,888,440","9,907,450","10,027,115","10,086,195","10,085,375","10,128,220","10,103,435","10,194,440","10,004,515","10,056,195",,34.4,34.3,34.9,34.7,35.8,35.9,36.3,36.9,37.6,38.2,38.9,39.6,40.2,41.4,42.2
North Carolina,"1,118,700","1,159,140","1,223,160","1,282,450","1,310,690","1,316,960","1,351,590","1,388,205","1,461,955","1,480,105","1,530,165","1,604,610","1,673,765","1,733,090","1,763,970",,"4,300,010","4,445,110","4,538,830","4,681,605","4,658,140","4,727,120","4,751,695","4,785,075","4,820,860","4,849,395","4,886,760","4,955,310","5,049,840","5,125,645","5,174,710",,26.0,26.1,26.9,27.4,28.1,27.9,28.4,29.0,30.3,30.5,31.3,32.4,33.1,33.8,34.1
North Dakota,"90,985","89,350","93,470","99,145","93,795","107,880","102,470","112,125","110,685","114,465","125,295","126,555","131,985","122,840","127,920",,"345,600","346,615","352,545","359,390","359,600","377,605","382,840","392,095","401,045","403,775","415,475","419,150","419,180","412,510","416,620",,26.3,25.8,26.5,27.6,26.1,28.6,26.8,28.6,27.6,28.3,30.2,30.2,31.5,29.8,30.7
Ohio,"1,419,470","1,447,010","1,510,970","1,534,255","1,546,410","1,560,610","1,556,995","1,597,770","1,651,915","1,689,065","1,706,130","1,740,115","1,764,745","1,845,710","1,866,975",,"5,745,885","5,891,400","5,858,610","5,966,275","5,920,415","5,844,910","5,820,385","5,812,490","5,820,830","5,858,015","5,863,640","5,875,895","5,885,355","5,930,010","5,965,595",,24.7,24.6,25.8,25.7,26.1,26.7,26.8,27.5,28.4,28.8,29.1,29.6,30.0,31.1,31.3
Oklahoma,"394,160","402,285","414,780","414,990","425,555","438,440","464,375","458,935","457,755","469,065","478,125","494,285","502,945","499,750","521,520",,"1,709,180","1,734,785","1,755,085","1,793,485","1,776,550","1,815,020","1,818,690","1,818,435","1,830,660","1,840,095","1,854,535","1,853,640","1,858,020","1,873,105","1,872,935",,23.1,23.2,23.6,23.1,24.0,24.2,25.5,25.2,25.0,25.5,25.8,26.7,27.1,26.7,27.8
Oregon,"502,875","531,595","551,485","564,015","579,490","567,305","574,620","594,080","604,950","617,790","664,845","685,200","719,965","735,305","762,175",,"1,852,450","1,912,915","1,933,815","1,969,485","1,974,125","1,948,885","1,942,970","1,953,410","1,966,660","1,972,040","2,018,995","2,058,325","2,100,000","2,135,975","2,153,330",,27.1,27.8,28.5,28.6,29.4,29.1,29.6,30.4,30.8,31.3,32.9,33.3,34.3,34.4,35.4
