,Name,2009ind,2009lab,2009ba,2010ind,2010lab,2010ba,2011ind,2011lab,2011ba,2012ind,2012lab,2012ba,2013ind,2013lab,2013ba,2014ind,2014ind,2014ba,2015ind,2015lab,2015ba,2016ind,2016lab,2016ba,2017ind,2017lab,2017ba,2018ind,2018lab,2018ba,2019ind,2019lab,2019ba
18,Louisiana,"1,181,653","505,070","285,090","1,197,065","511,150","282,390","1,206,298","495,585","283,640","1,214,328","524,190","300,230","1,223,468","536,990","310,520","1,233,169","549,955","323,175","1,243,467","563,705","323,465","1,252,176","562,125","324,860","1,251,248","580,515","334,760","1,250,023","582,565","336,235","1,248,081","594,550","350,875"
19,Maine,"320,549","197,130","91,690","314,778","199,100","89,450","311,968","211,635","96,290","309,088","203,930","87,590","307,858","204,855","93,755","307,991","217,210","98,610","306,585","216,830","101,070","307,120","221,545","105,165","309,464","228,925","108,625","312,746","230,960","112,950","316,883","247,165","115,885"
20,Maryland,"1,558,062","1,147,315","613,135","1,559,947","1,180,845","601,335","1,565,350","1,198,555","627,065","1,575,769","1,224,725","642,600","1,582,333","1,252,570","644,750","1,586,093","1,280,520","672,305","1,590,296","1,298,120","676,610","1,589,949","1,323,615","688,420","1,595,982","1,349,555","696,960","1,604,205","1,373,420","706,145","1,611,462","1,390,770","712,675"
21,Massachusetts,"1,741,440","1,470,640","805,480","1,733,812","1,476,635","803,235","1,739,254","1,494,185","795,925","1,750,436","1,508,265","812,840","1,763,085","1,556,740","838,555","1,775,117","1,617,615","858,615","1,781,106","1,629,260","866,700","1,788,412","1,682,655","895,005","1,807,335","1,716,125","909,755","1,826,349","1,788,060","960,985","1,842,827","1,820,510","974,100"
22,Michigan,"2,476,233","1,310,620","714,045","2,433,561","1,315,295","703,205","2,409,274","1,331,395","711,955","2,393,977","1,352,730","721,155","2,389,287","1,398,935","740,685","2,390,322","1,425,225","759,510","2,394,081","1,445,120","764,125","2,409,397","1,478,785","781,050","2,432,008","1,534,800","812,000","2,455,853","1,578,260","842,895","2,477,786","1,601,410","851,380"
23,Minnesota,"1,399,672","931,975","520,360","1,396,159","953,860","529,150","1,399,164","967,780","535,145","1,402,927","1,008,330","546,610","1,409,925","1,015,040","547,700","1,415,326","1,051,390","565,365","1,419,161","1,070,945","574,010","1,427,341","1,075,635","576,235","1,447,757","1,127,645","608,765","1,469,532","1,144,810","627,510","1,488,193","1,179,275","647,145"
24,Mississippi,"764,156","284,430","161,960","762,784","286,915","159,265","761,330","297,430","162,730","760,060","302,710","168,990","759,121","296,905","166,210","759,720","306,025","182,480","758,367","302,650","172,140","758,663","315,510","177,815","759,739","321,205","172,680","760,028","342,455","191,955","759,501","323,610","172,285"
25,Missouri,"1,527,653","832,015","456,595","1,525,122","839,515","461,865","1,524,815","846,725","466,570","1,523,685","865,055","473,755","1,527,008","891,165","485,785","1,531,007","898,965","502,075","1,534,969","908,925","504,000","1,540,260","925,110","515,485","1,554,360","961,710","522,985","1,566,585","974,435","543,295","1,579,626","1,006,795","561,540"
26,Montana,"234,399","138,705","71,370","236,034","148,435","74,345","237,427","149,775","76,275","239,094","154,745","76,565","242,514","146,670","76,940","245,312","152,335","77,290","248,723","160,070","85,630","252,613","162,465","82,740","258,978","174,685","87,375","263,814","172,420","90,275","268,181","182,260","102,260"
27,Nebraska,"462,372","272,130","148,520","466,948","291,595","157,755","469,569","284,365","153,065","472,494","298,600","162,440","475,873","299,165","165,205","478,381","307,955","170,245","480,098","314,040","171,645","484,109","322,645","182,720","489,353","328,960","184,645","494,304","341,565","194,440","498,477","356,010","202,530"
28,Nevada,"774,536","297,690","167,405","769,133","296,165","163,595","765,448","304,500","161,565","769,733","304,030","172,600","774,643","309,150","169,110","783,657","319,150","179,205","796,693","329,285","185,210","810,183","334,945","187,330","826,662","363,685","206,175","845,578","368,865","210,080","863,621","388,490","219,215"
29,New Hampshire,"328,416","240,360","118,845","322,559","247,905","116,700","318,995","248,215","118,255","316,194","257,815","120,500","314,134","255,675","117,740","314,113","258,270","121,535","313,666","266,065","125,270","315,021","275,550","128,275","319,045","283,740","129,180","323,747","277,750","129,505","329,316","287,570","139,730"
30,New Jersey,"2,364,261","1,700,220","935,350","2,344,286","1,740,035","951,630","2,328,999","1,748,330","945,455","2,313,217","1,801,165","979,215","2,299,058","1,817,575","983,365","2,284,721","1,876,250","993,140","2,271,736","1,884,355","1,009,300","2,264,293","1,928,255","1,023,980","2,272,217","2,022,500","1,074,840","2,281,791","2,057,040","1,090,140","2,289,971","2,080,220","1,101,485"
31,New Mexico,"511,617","242,510","117,145","517,353","247,230","114,135","521,267","255,705","119,740","522,937","257,170","125,180","525,089","253,850","129,510","524,381","246,810","120,695","525,210","246,900","119,745","527,777","259,150","130,290","530,795","254,355","128,830","534,244","255,880","135,395","538,933","270,275","137,595"
32,New York,"5,290,037","3,588,220","2,072,040","5,269,491","3,554,290","2,023,840","5,280,203","3,594,955","2,066,560","5,293,962","3,696,935","2,099,705","5,307,314","3,792,585","2,176,295","5,310,927","3,854,600","2,217,920","5,308,145","3,944,785","2,259,140","5,302,413","3,996,040","2,283,450","5,296,806","4,097,015","2,330,375","5,299,630","4,146,075","2,387,480","5,297,612","4,241,845","2,418,300"
33,North Carolina,"2,573,672","1,310,690","768,610","2,577,428","1,316,960","753,805","2,576,613","1,351,590","776,395","2,579,425","1,388,205","786,980","2,588,912","1,461,955","826,530","2,599,047","1,480,105","840,255","2,609,449","1,530,165","851,625","2,629,058","1,604,610","893,505","2,656,509","1,673,765","935,725","2,685,733","1,733,090","960,355","2,719,496","1,763,970","978,850"
34,North Dakota,"162,677","93,795","50,785","166,651","107,880","58,935","170,338","102,470","55,890","176,254","112,125","62,915","184,593","110,685","60,715","191,160","114,465","63,155","199,208","125,295","68,550","200,854","126,555","73,320","202,520","131,985","79,125","204,630","122,840","77,685","207,147","127,920","75,905"
35,Ohio,"2,916,945","1,546,410","852,180","2,885,691","1,560,610","845,475","2,870,474","1,556,995","840,370","2,858,425","1,597,770","861,400","2,865,662","1,651,915","891,570","2,874,971","1,689,065","914,590","2,881,104","1,706,130","922,940","2,888,256","1,740,115","942,570","2,907,421","1,764,745","966,585","2,930,703","1,845,710","997,180","2,952,186","1,866,975","1,015,845"
36,Oklahoma,"959,376","425,555","224,300","969,262","438,440","233,470","977,707","464,375","249,805","986,699","458,935","249,510","998,145","457,755","255,270","1,007,081","469,065","261,550","1,018,222","478,125","263,530","1,025,476","494,285","273,315","1,029,018","502,945","275,180","1,033,633","499,750","281,305","1,041,466","521,520","284,680"
